date,actual_orders
2015-01-01,5322
2015-02-01,4729
2015-03-01,5362
2015-04-01,5126
2015-05-01,5357
2015-06-01,5134
2015-07-01,5299
2015-08-01,5273
2015-09-01,5140
2015-10-01,5302
2015-11-01,5235
2015-12-01,5371
2016-01-01,5317
2016-02-01,4894
2016-03-01,5210
2016-04-01,5097
2016-05-01,5302
2016-06-01,5054
2016-07-01,5305
2016-08-01,5334
2016-09-01,5160
2016-10-01,5398
2016-11-01,5210
2016-12-01,5269
2017-01-01,5217
2017-02-01,4906
2017-03-01,5347
2017-04-01,5212
2017-05-01,5317
2017-06-01,4951
2017-07-01,5318
2017-08-01,5305
2017-09-01,5189
