date,model_fit
2015-01-01,5293.0
2015-02-01,4829.0
2015-03-01,5334.0
2015-04-01,5111.0
2015-05-01,5330.0
2015-06-01,5095.0
2015-07-01,5304.0
2015-08-01,5282.0
2015-09-01,5162.0
2015-10-01,5312.0
2015-11-01,5236.0
2015-12-01,5359.0
2016-01-01,5312.0
2016-02-01,4788.0
2016-03-01,5284.0
2016-04-01,5172.0
2016-05-01,5322.0
2016-06-01,5007.0
2016-07-01,5309.0
2016-08-01,5321.0
2016-09-01,5164.0
2016-10-01,5388.0
2016-11-01,5210.0
2016-12-01,5281.0
2017-01-01,5252.0
2017-02-01,4912.0
2017-03-01,5301.0
2017-04-01,5152.0
2017-05-01,5324.0
2017-06-01,5037.0
2017-07-01,5308.0
2017-08-01,5309.0
2017-09-01,5164.0
