year,month,month_name,quarter,year_month,total_orders,total_revenue,total_profit,late_rate_pct,revenue_at_risk
2015,1,January,1,2015-01,5322,1051590.08,111660.74,55.9,590976.24
2015,2,February,1,2015-02,4729,927009.9,99140.66,57.9,535779.94
2015,3,March,1,2015-03,5362,1051253.69,113778.21,57.2,596351.32
2015,4,April,2,2015-04,5126,1014463.28,108083.68,56.4,574060.45
2015,5,May,2,2015-05,5357,1050478.44,112147.9,58.1,610628.34
2015,6,June,2,2015-06,5134,1024006.17,110147.16,56.3,577808.43
2015,7,July,3,2015-07,5299,1038081.19,115624.06,57.6,600800.81
2015,8,August,3,2015-08,5273,1029494.69,117979.77,58.1,603436.8
2015,9,September,3,2015-09,5140,1018338.6,113467.94,58.9,599728.83
2015,10,October,4,2015-10,5302,1049154.27,101757.87,57.1,595047.31
2015,11,November,4,2015-11,5235,1029120.24,104427.36,56.4,581806.16
2015,12,December,4,2015-12,5371,1057840.88,110641.55,57.3,605364.16
2016,1,January,1,2016-01,5317,1046308.25,106780.95,57.9,600310.85
2016,2,February,1,2016-02,4894,968542.85,86809.49,56.3,547712.92
2016,3,March,1,2016-03,5210,1025853.12,101259.99,57.8,585329.84
2016,4,April,2,2016-04,5097,1001211.58,114976.62,57.2,566961.91
2016,5,May,2,2016-05,5302,1029400.2,110716.12,58.0,587738.55
2016,6,June,2,2016-06,5054,1003059.55,104196.07,58.9,589546.18
2016,7,July,3,2016-07,5305,1045715.62,119941.72,55.2,572404.23
2016,8,August,3,2016-08,5334,1048200.25,110729.54,57.0,598719.8
2016,9,September,3,2016-09,5160,1002397.04,123384.71,56.8,572695.07
2016,10,October,4,2016-10,5398,1048130.55,116781.97,56.9,588853.56
2016,11,November,4,2016-11,5210,1047590.14,109539.2,56.9,601413.94
2016,12,December,4,2016-12,5269,1037408.17,105002.69,58.6,607604.45
2017,1,January,1,2017-01,5217,1029698.02,114843.85,56.0,579678.69
2017,2,February,1,2017-02,4906,992534.9,115111.07,57.5,576452.04
2017,3,March,1,2017-03,5347,1048004.78,118688.9,57.8,604341.35
2017,4,April,2,2017-04,5212,1038321.62,115961.06,56.5,585876.31
2017,5,May,2,2017-05,5317,1105485.32,115014.64,56.8,622571.26
2017,6,June,2,2017-06,4951,1032086.49,110399.29,56.0,581795.83
2017,7,July,3,2017-07,5318,1104373.36,113026.7,58.3,637979.43
2017,8,August,3,2017-08,5305,1109337.17,131501.16,58.6,648736.38
2017,9,September,3,2017-09,5189,1143775.11,122462.39,57.3,655301.26
2017,10,October,4,2017-10,2255,1073994.17,113447.17,56.1,592036.72
2017,11,November,4,2017-11,2055,626914.38,67791.25,57.8,360773.34
2017,12,December,4,2017-12,2124,503910.82,65837.63,58.1,289069.29
2018,1,January,1,2018-01,2123,331650.12,33841.89,58.7,199493.12
